RM,result
6.46,11.80
6.34,14.90
6.25,12.60
6.18,14.10
6.42,13.00
6.75,13.40
6.66,15.20
6.30,16.10
7.39,17.80
6.73,14.90
6.53,14.10
5.98,12.70
5.94,13.50
6.30,14.90
6.08,20.00
6.70,16.40
6.38,17.70
6.32,19.50
6.51,20.20
6.21,21.40
5.76,19.90
5.95,19.00
6.00,19.10
5.93,19.10
5.71,20.10
6.17,19.90
6.23,19.60
6.44,23.20
6.98,29.80
5.43,13.80
6.16,13.30
6.48,16.70
5.30,12.00
6.18,14.60
6.23,21.40
6.24,23.00
6.75,23.70
7.06,25.00
5.76,21.80
5.87,20.60
6.31,21.20
6.11,19.10
5.91,20.60
5.45,15.20
5.41,7.00
5.09,8.10
5.98,13.60
5.98,20.10
5.71,21.80
5.93,24.50
5.67,23.10
5.39,19.70
5.79,18.30
6.02,21.20
5.57,17.50
6.03,16.80
6.59,22.40
6.12,20.60
6.98,23.90
6.79,22.00
6.03,11.90
